"Marca temporal","¿Cuántas personas de tu familia cercana (incluyéndote) tocan algún instrumento musical?","SI es asi, seleccione cuales de estos instrumentos se tocan"
"2021/06/17 9:05:49 a. m. GMT-3","0",""
"2021/06/17 9:06:00 a. m. GMT-3","2","Guitarra;Piano"
"2021/06/17 9:06:15 a. m. GMT-3","1","Guitarra"
"2021/06/17 9:06:32 a. m. GMT-3","1","Guitarra;Piano"
"2021/06/17 9:06:51 a. m. GMT-3","0",""
"2021/06/17 9:06:56 a. m. GMT-3","1","Guitarra"
"2021/06/17 9:09:00 a. m. GMT-3","0",""
"2021/06/17 9:09:37 a. m. GMT-3","3","Guitarra;Piano"
"2021/06/17 9:11:08 a. m. GMT-3","2","Piano;Flauta"
"2021/06/17 9:11:46 a. m. GMT-3","Mas","Guitarra;Piano;Bajo"
"2021/06/17 9:12:10 a. m. GMT-3","2","Guitarra;Piano;Clarinete"
"2021/06/17 9:14:18 a. m. GMT-3","1","Piano"
"2021/06/17 9:17:10 a. m. GMT-3","3","Piano;Bajo;Ukelele"
"2021/06/17 9:45:03 a. m. GMT-3","3","Guitarra;Piano;Bateria"
"2021/06/17 10:25:59 a. m. GMT-3","1","Bajo"
"2021/06/17 11:30:43 a. m. GMT-3","2","Guitarra;Piano"
"2021/06/17 7:04:10 p. m. GMT-3","2","Piano"
"2021/06/17 10:08:01 p. m. GMT-3","0",""
"2021/06/23 12:00:58 a. m. GMT-3","0",""
"2021/06/23 1:11:51 p. m. GMT-3","0",""
"2021/06/24 6:02:17 a. m. GMT-3","0",""
"2021/07/08 8:53:55 a. m. GMT-3","1","Bajo"
"2021/07/08 8:53:59 a. m. GMT-3","0",""
"2021/07/08 8:54:07 a. m. GMT-3","1","Piano"
"2021/07/08 8:54:14 a. m. GMT-3","2","Piano;Bateria"
"2021/07/08 8:54:19 a. m. GMT-3","1","Guitarra"
"2021/07/08 9:13:33 a. m. GMT-3","1","Ukelele"